2025-02-24 11:18:39,100 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 11:18:39,100 - MacroTester - INFO - Test mode: Using mock window Test Window
Starting recording in 3 seconds...
2025-02-24 11:18:42,100 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 11:18:44,812 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 566, 'y': 363, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395924.8127987}
2025-02-24 11:18:44,913 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 529, 'y': 349, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395924.9134743}
2025-02-24 11:18:45,013 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': 2, 'timestamp': 1740395925.0138452}
2025-02-24 11:18:45,114 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 451, 'y': 319, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.1141496}
2025-02-24 11:18:45,214 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 411, 'y': 304, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.2145438}
2025-02-24 11:18:45,314 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 371, 'y': 289, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.314832}
2025-02-24 11:18:45,415 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 331, 'y': 274, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.4152603}
2025-02-24 11:18:45,515 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 292, 'y': 259, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.5156379}
2025-02-24 11:18:45,616 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 254, 'y': 244, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.616073}
2025-02-24 11:18:45,716 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 217, 'y': 229, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.7166054}
2025-02-24 11:18:45,816 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 182, 'y': 215, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.8169305}
2025-02-24 11:18:45,917 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 150, 'y': 200, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395925.9172843}
2025-02-24 11:18:46,017 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 120, 'y': 186, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.0177476}
2025-02-24 11:18:46,118 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 92, 'y': 172, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.1180775}
2025-02-24 11:18:46,218 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 68, 'y': 159, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.2185452}
2025-02-24 11:18:46,319 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 47, 'y': 146, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.3197174}
2025-02-24 11:18:46,420 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 30, 'y': 133, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.4200127}
2025-02-24 11:18:46,520 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 17, 'y': 121, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.5205185}
2025-02-24 11:18:46,620 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 7, 'y': 109, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.6208162}
2025-02-24 11:18:46,721 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 1, 'y': 97, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.7212572}
2025-02-24 11:18:46,821 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 0, 'y': 86, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.8218417}
2025-02-24 11:18:46,922 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 2, 'y': 76, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395926.922321}
2025-02-24 11:18:47,023 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 8, 'y': 66, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.023861}
2025-02-24 11:18:47,124 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 19, 'y': 57, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.1243613}
2025-02-24 11:18:47,224 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 19, 'y': 57, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.2246265}
2025-02-24 11:18:47,224 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 33, 'y': 49, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.2248378}
2025-02-24 11:18:47,325 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': -3, 'timestamp': 1740395927.3250473}
2025-02-24 11:18:47,425 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 72, 'y': 33, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.4254067}
2025-02-24 11:18:47,525 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 97, 'y': 27, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.5257378}
2025-02-24 11:18:47,626 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 124, 'y': 21, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.6260073}
2025-02-24 11:18:47,726 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 155, 'y': 16, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.7263935}
2025-02-24 11:18:47,827 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 188, 'y': 11, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.82703}
2025-02-24 11:18:47,930 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 224, 'y': 7, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395927.9301646}
2025-02-24 11:18:48,030 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 261, 'y': 4, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.030631}
2025-02-24 11:18:48,131 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 299, 'y': 2, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.1310117}
2025-02-24 11:18:48,231 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 339, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.2313783}
2025-02-24 11:18:48,331 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 378, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.3316956}
2025-02-24 11:18:48,432 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 419, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.4320235}
2025-02-24 11:18:48,532 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 419, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.5325255}
2025-02-24 11:18:48,532 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 459, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.5327384}
2025-02-24 11:18:48,633 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 498, 'y': 2, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.63296}
2025-02-24 11:18:48,733 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 536, 'y': 4, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.733677}
2025-02-24 11:18:48,834 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 573, 'y': 7, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.8340938}
2025-02-24 11:18:48,934 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 609, 'y': 11, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395928.9345727}
2025-02-24 11:18:49,034 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 609, 'y': 11, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.034939}
2025-02-24 11:18:49,035 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 642, 'y': 15, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.0352008}
2025-02-24 11:18:49,135 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': -2, 'timestamp': 1740395929.1354246}
2025-02-24 11:18:49,235 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 700, 'y': 26, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.2357657}
2025-02-24 11:18:49,336 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 725, 'y': 33, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.3361967}
2025-02-24 11:18:49,436 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 747, 'y': 40, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.436482}
2025-02-24 11:18:49,536 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 765, 'y': 48, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.5368516}
2025-02-24 11:18:49,637 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 779, 'y': 56, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.6371694}
2025-02-24 11:18:49,737 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 790, 'y': 66, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.7377207}
2025-02-24 11:18:49,838 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 797, 'y': 75, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.8381999}
2025-02-24 11:18:49,938 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 799, 'y': 86, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395929.9386067}
2025-02-24 11:18:50,039 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 798, 'y': 96, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.0390189}
2025-02-24 11:18:50,139 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 793, 'y': 108, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.1396}
2025-02-24 11:18:50,240 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 783, 'y': 120, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'timestamp': 1740395930.2401204}
