2025-02-24 12:08:42,422 - MacroTester - INFO - Visualization initialized (headless: True)
2025-02-24 12:08:42,422 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 12:08:42,422 - MacroTester - INFO - Test mode: Using mock window Test Window
2025-02-24 12:08:45,422 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 12:08:47,731 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 695, 'y': 421, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398927.7315748}
2025-02-24 12:08:47,831 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 667, 'y': 407, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398927.8319309}
2025-02-24 12:08:47,932 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 636, 'y': 393, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398927.932466}
2025-02-24 12:08:48,032 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 602, 'y': 378, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.032871}
2025-02-24 12:08:48,133 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 567, 'y': 364, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.1331668}
2025-02-24 12:08:48,233 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 530, 'y': 349, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.2334948}
2025-02-24 12:08:48,333 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 491, 'y': 334, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.333827}
2025-02-24 12:08:48,434 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 451, 'y': 319, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.434224}
2025-02-24 12:08:48,534 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 411, 'y': 304, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.534565}
2025-02-24 12:08:48,634 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 371, 'y': 289, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398928.634925}
